Wavelength,Intensity0
336.0619,1046
336.09832,1050
336.13474,1050
336.17116,1040
336.20758,1042
336.244,1048
336.28042,1058
336.31684,1040
336.35326,1050
336.38968,1064
336.4261,1054
336.46252,1052
336.49894,1050
336.53536,1050
336.57178,1054
336.6082,1042
336.64462,1056
336.68104,1050
336.71746,1050
336.75388,1058
336.7903,1042
336.82672,1066
336.86386,1050
336.90028,1054
336.9367,1050
336.97312,1044
337.00954,1054
337.04596,1050
337.08238,1064
337.1188,1048
337.15522,1060
337.19164,1058
337.22806,1040
337.26448,1052
337.3009,1044
337.33732,1042
337.37374,1050
337.41016,1046
337.44658,1046
337.483,1058
337.51942,1054
337.55584,1048
337.59226,1050
337.62868,1068
337.6651,1056
337.70152,1050
337.73794,1048
337.77436,1056
337.81078,1046
337.8472,1040
337.88362,1050
337.92004,1040
337.95646,1046
337.99288,1054
338.0293,1058
338.06572,1048
338.10214,1050
338.13856,1062
338.17498,1060
338.2114,1048
338.24782,1040
338.28424,1042
338.32066,1054
338.35708,1050
338.3935,1054
338.42992,1048
338.46634,1044
338.50276,1048
338.53918,1060
338.5756,1040
338.61202,1050
338.64844,1054
338.68486,1056
338.72128,1044
338.7577,1054
338.79412,1050
338.83054,1042
338.86696,1058
338.90338,1054
338.9398,1046
338.97622,1048
339.01264,1060
339.04906,1050
339.08548,1058
339.1219,1060
339.15832,1048
339.19474,1044
339.23116,1052
339.26758,1054
339.304,1050
339.34042,1056
339.37684,1060
339.41326,1048
339.44968,1054
339.4861,1046
339.52252,1052
339.55894,1048
339.59536,1046
339.63178,1056
339.6682,1042
339.70462,1046
339.74104,1050
339.77746,1048
339.81388,1058
339.8503,1042
339.88672,1052
339.92314,1062
339.95956,1058
339.99598,1048
340.0324,1052
340.06882,1052
340.10524,1046
340.14166,1048
340.17808,1060
340.2145,1054
340.25092,1048
340.28734,1046
340.32376,1050
340.36018,1056
340.3966,1058
340.43302,1048
340.46944,1050
340.50586,1050
340.54228,1050
340.5787,1056
340.61512,1056
340.65154,1048
340.68796,1052
340.72438,1048
340.7608,1056
340.79722,1054
340.83364,1056
340.87006,1058
340.90648,1056
340.9429,1054
340.97932,1066
341.01574,1060
341.05216,1060
341.08858,1050
341.125,1050
341.16142,1054
341.19784,1052
341.23426,1048
341.27068,1052
341.3071,1054
341.34352,1046
341.37994,1052
341.41636,1060
341.45278,1052
341.4892,1048
341.52562,1060
341.56204,1048
341.59846,1050
341.63488,1052
341.6713,1068
341.70772,1064
341.74414,1046
341.78056,1058
341.81698,1058
341.8534,1046
341.88982,1054
341.92624,1058
341.96266,1044
341.99908,1050
342.0355,1048
342.07192,1052
342.10834,1050
342.14476,1054
342.18118,1044
342.2176,1066
342.25402,1048
342.29044,1050
342.32686,1054
342.36328,1052
342.3997,1054
342.43612,1054
342.47254,1052
342.50896,1052
342.54538,1054
342.5818,1054
342.61822,1060
342.65464,1062
342.69106,1046
342.72748,1058
342.7639,1050
342.80032,1050
342.83674,1060
342.87316,1056
342.90958,1050
342.946,1056
342.98242,1052
343.01884,1056
343.05526,1064
343.09168,1062
343.1281,1058
343.16452,1050
343.20094,1052
343.23736,1044
343.27378,1060
343.3102,1062
343.34662,1066
343.38304,1058
343.41946,1048
343.45588,1058
343.4923,1056
343.52872,1060
343.56514,1056
343.60156,1054
343.63798,1056
343.6744,1056
343.71082,1042
343.74724,1046
343.78366,1056
343.82008,1052
343.8565,1058
343.89292,1042
343.92934,1046
343.96576,1046
344.00218,1056
344.0386,1056
344.07502,1060
344.11144,1048
344.14786,1050
344.18428,1056
344.2207,1052
344.25712,1054
344.29354,1050
344.32996,1048
344.36638,1052
344.4028,1058
344.43922,1060
344.47564,1054
344.51206,1048
344.54848,1068
344.5849,1056
344.62132,1054
344.65774,1054
344.69416,1046
344.73058,1054
344.767,1046
344.80342,1050
344.83984,1054
344.87626,1058
344.91268,1062
344.9491,1062
344.98552,1044
345.02194,1058
345.05836,1064
345.09478,1058
345.1312,1058
345.16762,1046
345.20404,1054
345.24046,1052
345.27688,1052
345.3133,1060
345.34972,1052
345.38614,1052
345.42256,1052
345.45898,1062
345.4954,1060
345.53182,1056
345.56824,1060
345.60466,1048
345.64108,1066
345.6775,1060
345.71392,1050
345.75034,1046
345.78676,1054
345.82318,1052
345.8596,1056
345.89602,1050
345.93244,1058
345.96886,1050
346.00528,1062
346.0417,1062
346.07812,1052
346.11454,1060
346.15096,1050
346.18738,1052
346.2238,1048
346.26022,1056
346.29664,1058
346.33306,1062
346.36948,1060
346.4059,1054
346.44232,1056
346.47874,1050
346.51516,1056
346.55158,1054
346.588,1054
346.62442,1060
346.66084,1048
346.69726,1054
346.73368,1066
346.7701,1062
346.80652,1050
346.84294,1050
346.87936,1058
346.91578,1064
346.9522,1058
346.98862,1056
347.02504,1056
347.06146,1058
347.09788,1058
347.1343,1064
347.17072,1042
347.20714,1056
347.24356,1054
347.27998,1060
347.3164,1058
347.35282,1050
347.38924,1054
347.42566,1064
347.46208,1052
347.4985,1056
347.53492,1060
347.57134,1072
347.60776,1058
347.64418,1050
347.6806,1050
347.71702,1042
347.75344,1056
347.78986,1048
347.82628,1048
347.8627,1056
347.89912,1060
347.93554,1054
347.97196,1054
348.00838,1060
348.0448,1056
348.08122,1046
348.11764,1046
348.15406,1052
348.19048,1056
348.2269,1056
348.26332,1052
348.29974,1048
348.33616,1062
348.37258,1060
348.409,1054
348.44542,1070
348.48184,1054
348.51826,1054
348.55468,1062
348.5911,1054
348.62752,1054
348.66394,1060
348.70036,1056
348.73678,1056
348.7732,1066
348.80962,1058
348.84604,1058
348.88246,1052
348.91888,1052
348.9553,1074
348.99172,1054
349.02814,1056
349.06456,1060
349.10098,1060
349.1374,1068
349.17382,1062
349.21024,1058
349.24666,1066
349.28308,1052
349.3195,1050
349.35592,1064
349.39234,1068
349.42876,1058
349.46518,1060
349.5016,1062
349.53802,1062
349.57444,1058
349.61086,1060
349.64728,1054
349.6837,1060
349.72012,1062
349.75654,1058
349.79296,1056
349.82938,1074
349.8658,1056
349.90222,1046
349.93864,1062
349.97506,1060
350.01148,1044
350.0479,1056
350.08432,1054
350.12074,1068
350.15716,1064
350.19358,1052
350.23,1050
350.26642,1046
350.30284,1054
350.33926,1058
350.37568,1056
350.4121,1068
350.44852,1050
350.48494,1050
350.52136,1046
350.55778,1058
350.5942,1054
350.63062,1052
350.66704,1064
350.70346,1064
350.73988,1054
350.7763,1060
350.81272,1044
350.84914,1064
350.88556,1058
350.92198,1064
350.9584,1074
350.99482,1068
351.03124,1058
351.06766,1064
351.10408,1052
351.1405,1052
351.17692,1060
351.21334,1058
351.24976,1064
351.28618,1060
351.3226,1054
351.35902,1062
351.39544,1052
351.43186,1058
351.46828,1060
351.5047,1044
351.54112,1060
351.57754,1046
351.61396,1058
351.65038,1052
351.6868,1070
351.72322,1064
351.75964,1062
351.79606,1062
351.83248,1052
351.8689,1060
351.90532,1068
351.94174,1060
351.97816,1050
352.01458,1052
352.051,1054
352.08742,1062
352.12384,1066
352.16026,1044
352.19668,1066
352.2331,1058
352.26952,1060
352.30594,1056
352.34236,1058
352.37878,1056
352.4152,1056
352.45162,1060
352.48804,1054
352.52446,1052
352.56088,1060
352.5973,1060
352.63372,1064
352.67014,1056
352.70656,1058
352.74298,1054
352.7794,1066
352.81582,1046
352.85224,1060
352.88866,1066
352.92508,1062
352.9615,1064
352.99792,1062
353.03434,1056
353.07076,1056
353.10718,1060
353.1436,1054
353.18002,1058
353.21644,1060
353.25286,1068
353.28928,1050
353.3257,1054
353.36212,1066
353.39854,1068
353.43496,1058
353.47138,1066
353.5078,1058
353.54422,1056
353.58064,1066
353.61706,1060
353.65348,1062
353.6899,1060
353.72632,1064
353.76274,1058
353.79916,1070
353.83558,1060
353.872,1060
353.90842,1070
353.94484,1054
353.98126,1048
354.01768,1046
354.0541,1068
354.09052,1056
354.12694,1062
354.16336,1052
354.19978,1056
354.2362,1058
354.27262,1058
354.30904,1056
354.34546,1056
354.38188,1064
354.4183,1052
354.45472,1058
354.49114,1060
354.52756,1070
354.56398,1060
354.6004,1068
354.63682,1054
354.67324,1068
354.70966,1050
354.74608,1052
354.7825,1068
354.81892,1062
354.85534,1052
354.89176,1068
354.92818,1056
354.9646,1070
355.00102,1058
355.03744,1066
355.07386,1062
355.11028,1056
355.1467,1070
355.18312,1064
355.21954,1058
355.25596,1062
355.29238,1056
355.3288,1060
355.36522,1060
355.40164,1070
355.43806,1060
355.47448,1050
355.5109,1068
355.54732,1066
355.58374,1056
355.62016,1060
355.65658,1064
355.693,1058
355.72942,1056
355.76584,1052
355.80226,1054
355.83868,1062
355.8751,1058
355.91152,1052
355.94794,1054
355.98436,1064
356.02078,1064
356.0572,1052
356.09362,1058
356.13004,1060
356.16646,1060
356.20288,1072
356.2393,1058
356.27572,1062
356.31214,1054
356.34856,1048
356.38498,1062
356.4214,1062
356.45782,1062
356.49424,1058
356.53066,1064
356.56708,1054
356.6035,1052
356.63992,1054
356.67634,1056
356.71276,1064
356.74918,1060
356.7856,1054
356.82202,1060
356.85844,1062
356.89486,1060
356.93128,1056
356.9677,1062
357.00412,1064
357.04054,1058
357.07696,1058
357.11338,1054
357.1498,1048
357.18622,1062
357.22264,1060
357.25906,1054
357.29548,1054
357.3319,1068
357.36832,1064
357.40474,1056
357.44116,1058
357.47758,1064
357.514,1056
357.55042,1062
357.58684,1056
357.62326,1060
357.65968,1064
357.6961,1060
357.73252,1052
357.76894,1058
357.80536,1052
357.84178,1054
357.8782,1066
357.91462,1060
357.95104,1062
357.98746,1060
358.02388,1056
358.0603,1064
358.09672,1052
358.13314,1070
358.16956,1052
358.20598,1058
358.2424,1060
358.27882,1064
358.31524,1058
358.35166,1048
358.38808,1054
358.4245,1056
358.46092,1056
358.49734,1056
358.53376,1054
358.57018,1056
358.6066,1054
358.64302,1054
358.67944,1068
358.71586,1054
358.75228,1058
358.7887,1052
358.82512,1066
358.86154,1056
358.89796,1044
358.93438,1058
358.9708,1066
359.00722,1064
359.04364,1062
359.08006,1054
359.11648,1048
359.1529,1050
359.18932,1064
359.22574,1062
359.26216,1060
359.29858,1050
359.335,1058
359.37142,1054
359.40784,1054
359.44426,1050
359.48068,1054
359.5171,1062
359.55352,1066
359.58994,1050
359.62636,1058
359.66278,1076
359.6992,1062
359.73562,1046
359.77204,1062
359.80846,1062
359.84488,1050
359.8813,1056
359.91772,1058
359.95414,1048
359.99056,1052
360.02698,1056
360.0634,1060
360.09982,1054
360.13624,1054
360.17266,1058
360.20908,1050
360.2455,1062
360.28192,1066
360.31834,1060
360.35476,1064
360.39118,1046
360.4276,1052
360.46402,1068
360.50044,1060
360.53686,1070
360.57328,1056
360.6097,1058
360.64612,1058
360.68254,1060
360.71896,1068
360.75538,1052
360.7918,1052
360.82822,1050
360.86464,1068
360.90106,1064
360.93748,1050
360.9739,1056
361.01032,1056
361.04674,1056
361.08316,1064
361.11958,1058
361.156,1050
361.19242,1056
361.22884,1052
361.26526,1056
361.30168,1058
361.3381,1056
361.37452,1050
361.41094,1052
361.44736,1052
361.48378,1052
361.5202,1064
361.55662,1066
361.59304,1052
361.62946,1052
361.66588,1064
361.7023,1064
361.73872,1054
361.77514,1050
361.81156,1056
361.84798,1056
361.8844,1054
361.92082,1060
361.95724,1048
361.99366,1062
362.03008,1052
362.0665,1058
362.10292,1058
362.13934,1052
362.17576,1058
362.21218,1066
362.2486,1060
362.28502,1062
362.32144,1056
362.35786,1060
362.39428,1058
362.4307,1060
362.46712,1048
362.50354,1056
362.53996,1058
362.57638,1056
362.6128,1064
362.64922,1058
362.68564,1054
362.72206,1056
362.75848,1058
362.7949,1060
362.83132,1058
362.86774,1064
362.90416,1064
362.94058,1062
362.977,1064
363.01342,1052
363.04984,1058
363.08626,1062
363.12268,1058
